layer,c,tau,beta
1,1.3073296546936035,0.050703633576631546,2.1188340187072754
2,1.7543256282806396,0.07136952877044678,2.2579574584960938
3,1.0171549320220947,0.16380675137043,0.5820498466491699
4,0.7663583159446716,0.11482924222946167,0.5413784384727478
5,0.3368760347366333,0.04737343266606331,1.2563955783843994
6,0.23005878925323486,0.014971038326621056,2.0519721508026123
7,0.38918453454971313,0.018690375611186028,2.0493264198303223
8,0.5018473863601685,0.006499999202787876,1.0
