layer,c,tau,beta
1,0.4802122116088867,0.007600792217999697,0.9983205795288086
2,0.4910116195678711,0.007197183556854725,1.0653709173202515
3,0.4787723422050476,0.007261382415890694,1.0843690633773804
4,0.47202715277671814,0.0073496936820447445,1.0538303852081299
5,0.4678502082824707,0.00749594159424305,1.0421090126037598
6,0.46501511335372925,0.0077181970700621605,1.0321142673492432
7,0.46254584193229675,0.007223720196634531,0.9455366134643555
8,0.4701818823814392,0.006499999202787876,1.0
