layer,c,tau,beta
1,0.49866560101509094,0.006535702385008335,0.99602210521698
2,0.4985341429710388,0.006535702385008335,0.9980002641677856
3,0.4985010623931885,0.006535702385008335,0.9994679093360901
4,0.49847477674484253,0.006535702385008335,1.0014985799789429
5,0.49845412373542786,0.006535584107041359,1.0021675825119019
6,0.4984402656555176,0.006535702385008335,1.0004897117614746
7,0.49842795729637146,0.0065477825701236725,1.001537561416626
8,0.49844738841056824,0.006500053685158491,0.9999998807907104
