round 01 epoch 001 | train 0.714753 | validation 0.665516
round 01 epoch 002 | train 0.676465 | validation 0.633758
round 01 epoch 003 | train 0.640443 | validation 0.604925
round 01 epoch 004 | train 0.607700 | validation 0.578212
round 01 epoch 005 | train 0.578594 | validation 0.553161
round 01 epoch 006 | train 0.551417 | validation 0.527871
round 01 epoch 007 | train 0.523811 | validation 0.500158
round 01 epoch 008 | train 0.493970 | validation 0.469578
round 01 epoch 009 | train 0.461727 | validation 0.436419
round 01 epoch 010 | train 0.427063 | validation 0.400823
round 01 epoch 011 | train 0.390498 | validation 0.363199
round 01 epoch 012 | train 0.351861 | validation 0.323257
round 01 epoch 013 | train 0.311283 | validation 0.281703
round 01 epoch 014 | train 0.270297 | validation 0.240438
round 01 epoch 015 | train 0.230685 | validation 0.202189
round 01 epoch 016 | train 0.193900 | validation 0.167405
round 01 epoch 017 | train 0.161483 | validation 0.138124
round 01 epoch 018 | train 0.134394 | validation 0.113569
round 01 epoch 019 | train 0.112155 | validation 0.093916
round 01 epoch 020 | train 0.094742 | validation 0.079263
