layer,c,tau,beta
1,1.5647807121276855,0.025546343997120857,2.435189723968506
2,1.7759194374084473,0.060457099229097366,2.6524767875671387
3,1.0711203813552856,0.16338109970092773,0.9992823600769043
4,0.7793334722518921,0.12137816101312637,0.35140329599380493
5,0.6114596724510193,0.09821392595767975,0.8721505403518677
6,0.4191915690898895,0.0530942901968956,1.7020727396011353
7,0.32053107023239136,0.016133354976773262,0.457645982503891
8,0.4650934934616089,0.006500053685158491,0.9999998807907104
