c,tau,beta
7.806416153907775879e-01,4.598542302846908569e-02,2.121471643447875977e+00
3.248146295547485352e+00,1.280552893877029419e-01,2.477906227111816406e+00
7.126575708389282227e-01,4.761153161525726318e-01,6.570804119110107422e-01
1.082733750343322754e+00,4.381590187549591064e-01,2.965591549873352051e-01
2.712461948394775391e-01,1.039766967296600342e-01,1.063159108161926270e+00
1.729591786861419678e-01,2.850426547229290009e-02,1.922563433647155762e+00
2.991049885749816895e-01,2.359380014240741730e-02,1.462658166885375977e+00
3.850676417350769043e-01,6.499999202787876129e-03,1.000000000000000000e+00
