layer,c,tau,beta
1,1.5647836923599243,0.025546638295054436,2.4352121353149414
2,1.7759149074554443,0.06045768782496452,2.652484893798828
3,1.071119785308838,0.16338084638118744,0.999339759349823
4,0.7793290019035339,0.12137885391712189,0.3513956665992737
5,0.6114547252655029,0.09821395576000214,0.8721927404403687
6,0.41919201612472534,0.0530940480530262,1.7020748853683472
7,0.3205316364765167,0.016133243218064308,0.45765045285224915
8,0.4650924801826477,0.006499999202787876,1.0
